Trial,Start,Finish,Period
1,8.426,9.836,1.4100000000000001
2,9.836,11.343,1.5069999999999997
3,11.343,12.986,1.6430000000000007
4,12.986,14.418,1.4319999999999986
5,14.418,15.896,1.4780000000000015
6,15.896,17.456,1.5599999999999987
7,17.456,18.96,1.5040000000000013
8,18.96,20.352,1.3919999999999995
9,20.352,21.93,1.5779999999999994
10,21.93,23.444,1.5139999999999993
11,23.444,24.93,1.4860000000000007
12,24.93,26.389,1.4589999999999996
13,26.389,27.9,1.5109999999999992
14,27.9,29.442,1.5420000000000016
15,29.442,30.929,1.4869999999999983
